Data;Meta;Piso;Teto;IPCA
08/1999;0,08;0,06;0,1;5,69
09/1999;0,08;0,06;0,1;6,25
10/1999;0,08;0,06;0,1;7,5
11/1999;0,08;0,06;0,1;8,65
12/1999;0,08;0,06;0,1;8,94
01/2000;0,06;0,04;0,08;8,85
02/2000;0,06;0,04;0,08;7,86
03/2000;0,06;0,04;0,08;6,92
04/2000;0,06;0,04;0,08;6,77
05/2000;0,06;0,04;0,08;6,47
06/2000;0,06;0,04;0,08;6,51
07/2000;0,06;0,04;0,08;7,06
08/2000;0,06;0,04;0,08;7,86
09/2000;0,06;0,04;0,08;7,77
10/2000;0,06;0,04;0,08;6,65
11/2000;0,06;0,04;0,08;5,99
12/2000;0,06;0,04;0,08;5,97
01/2001;0,04;0,02;0,06;5,92
02/2001;0,04;0,02;0,06;6,27
03/2001;0,04;0,02;0,06;6,44
04/2001;0,04;0,02;0,06;6,61
05/2001;0,04;0,02;0,06;7,04
06/2001;0,04;0,02;0,06;7,35
07/2001;0,04;0,02;0,06;7,05
08/2001;0,04;0,02;0,06;6,41
09/2001;0,04;0,02;0,06;6,46
10/2001;0,04;0,02;0,06;7,19
11/2001;0,04;0,02;0,06;7,61
12/2001;0,04;0,02;0,06;7,67
01/2002;0,035;0,015;0,065;7,62
02/2002;0,035;0,015;0,065;7,51
03/2002;0,035;0,015;0,065;7,75
04/2002;0,035;0,015;0,065;7,98
05/2002;0,035;0,015;0,065;7,77
06/2002;0,035;0,015;0,065;7,66
07/2002;0,035;0,015;0,065;7,51
08/2002;0,035;0,015;0,065;7,46
09/2002;0,035;0,015;0,065;7,93
10/2002;0,035;0,015;0,065;8,45
11/2002;0,035;0,015;0,065;10,93
12/2002;0,035;0,015;0,065;12,53
01/2003;0,04;0,015;0,065;14,47
02/2003;0,04;0,015;0,065;15,85
03/2003;0,04;0,015;0,065;16,57
04/2003;0,04;0,015;0,065;16,77
05/2003;0,04;0,015;0,065;17,24
06/2003;0,04;0,015;0,065;16,57
07/2003;0,04;0,015;0,065;15,43
08/2003;0,04;0,015;0,065;15,07
09/2003;0,04;0,015;0,065;15,14
10/2003;0,04;0,015;0,065;13,98
11/2003;0,04;0,015;0,065;11,02
12/2003;0,04;0,015;0,065;9,3
01/2004;0,055;0,03;0,08;7,71
02/2004;0,055;0,03;0,08;6,69
03/2004;0,055;0,03;0,08;5,89
04/2004;0,055;0,03;0,08;5,26
05/2004;0,055;0,03;0,08;5,15
06/2004;0,055;0,03;0,08;6,06
07/2004;0,055;0,03;0,08;6,81
08/2004;0,055;0,03;0,08;7,18
09/2004;0,055;0,03;0,08;6,7
10/2004;0,055;0,03;0,08;6,86
11/2004;0,055;0,03;0,08;7,24
12/2004;0,055;0,03;0,08;7,6
01/2005;0,045;0,02;0,07;7,41
02/2005;0,045;0,02;0,07;7,39
03/2005;0,045;0,02;0,07;7,54
04/2005;0,045;0,02;0,07;8,07
05/2005;0,045;0,02;0,07;8,05
06/2005;0,045;0,02;0,07;7,27
07/2005;0,045;0,02;0,07;6,57
08/2005;0,045;0,02;0,07;6,02
09/2005;0,045;0,02;0,07;6,04
10/2005;0,045;0,02;0,07;6,36
11/2005;0,045;0,02;0,07;6,22
12/2005;0,045;0,02;0,07;5,69
01/2006;0,045;0,025;0,065;5,7
02/2006;0,045;0,025;0,065;5,51
03/2006;0,045;0,025;0,065;5,32
04/2006;0,045;0,025;0,065;4,63
05/2006;0,045;0,025;0,065;4,23
06/2006;0,045;0,025;0,065;4,03
07/2006;0,045;0,025;0,065;3,97
08/2006;0,045;0,025;0,065;3,84
09/2006;0,045;0,025;0,065;3,7
10/2006;0,045;0,025;0,065;3,26
11/2006;0,045;0,025;0,065;3,02
12/2006;0,045;0,025;0,065;3,14
01/2007;0,045;0,025;0,065;2,99
02/2007;0,045;0,025;0,065;3,02
03/2007;0,045;0,025;0,065;2,96
04/2007;0,045;0,025;0,065;3
05/2007;0,045;0,025;0,065;3,18
06/2007;0,045;0,025;0,065;3,69
07/2007;0,045;0,025;0,065;3,74
08/2007;0,045;0,025;0,065;4,18
09/2007;0,045;0,025;0,065;4,15
10/2007;0,045;0,025;0,065;4,12
11/2007;0,045;0,025;0,065;4,19
12/2007;0,045;0,025;0,065;4,46
01/2008;0,045;0,025;0,065;4,56
02/2008;0,045;0,025;0,065;4,61
03/2008;0,045;0,025;0,065;4,73
04/2008;0,045;0,025;0,065;5,04
05/2008;0,045;0,025;0,065;5,58
06/2008;0,045;0,025;0,065;6,06
07/2008;0,045;0,025;0,065;6,37
08/2008;0,045;0,025;0,065;6,17
09/2008;0,045;0,025;0,065;6,25
10/2008;0,045;0,025;0,065;6,41
11/2008;0,045;0,025;0,065;6,39
12/2008;0,045;0,025;0,065;5,9
01/2009;0,045;0,025;0,065;5,84
02/2009;0,045;0,025;0,065;5,9
03/2009;0,045;0,025;0,065;5,61
04/2009;0,045;0,025;0,065;5,53
05/2009;0,045;0,025;0,065;5,2
06/2009;0,045;0,025;0,065;4,8
07/2009;0,045;0,025;0,065;4,5
08/2009;0,045;0,025;0,065;4,36
09/2009;0,045;0,025;0,065;4,34
10/2009;0,045;0,025;0,065;4,17
11/2009;0,045;0,025;0,065;4,22
12/2009;0,045;0,025;0,065;4,31
01/2010;0,045;0,025;0,065;4,59
02/2010;0,045;0,025;0,065;4,83
03/2010;0,045;0,025;0,065;5,17
04/2010;0,045;0,025;0,065;5,26
05/2010;0,045;0,025;0,065;5,22
06/2010;0,045;0,025;0,065;4,84
07/2010;0,045;0,025;0,065;4,6
08/2010;0,045;0,025;0,065;4,49
09/2010;0,045;0,025;0,065;4,7
10/2010;0,045;0,025;0,065;5,2
11/2010;0,045;0,025;0,065;5,63
12/2010;0,045;0,025;0,065;5,91
01/2011;0,045;0,025;0,065;5,99
02/2011;0,045;0,025;0,065;6,01
03/2011;0,045;0,025;0,065;6,3
04/2011;0,045;0,025;0,065;6,51
05/2011;0,045;0,025;0,065;6,55
06/2011;0,045;0,025;0,065;6,71
07/2011;0,045;0,025;0,065;6,87
08/2011;0,045;0,025;0,065;7,23
09/2011;0,045;0,025;0,065;7,31
10/2011;0,045;0,025;0,065;6,97
11/2011;0,045;0,025;0,065;6,64
12/2011;0,045;0,025;0,065;6,5
01/2012;0,045;0,025;0,065;6,22
02/2012;0,045;0,025;0,065;5,85
03/2012;0,045;0,025;0,065;5,24
04/2012;0,045;0,025;0,065;5,1
05/2012;0,045;0,025;0,065;4,99
06/2012;0,045;0,025;0,065;4,92
07/2012;0,045;0,025;0,065;5,2
08/2012;0,045;0,025;0,065;5,24
09/2012;0,045;0,025;0,065;5,28
10/2012;0,045;0,025;0,065;5,45
11/2012;0,045;0,025;0,065;5,53
12/2012;0,045;0,025;0,065;5,84
01/2013;0,045;0,025;0,065;6,15
02/2013;0,045;0,025;0,065;6,31
03/2013;0,045;0,025;0,065;6,59
04/2013;0,045;0,025;0,065;6,49
05/2013;0,045;0,025;0,065;6,5
06/2013;0,045;0,025;0,065;6,7
07/2013;0,045;0,025;0,065;6,27
08/2013;0,045;0,025;0,065;6,09
09/2013;0,045;0,025;0,065;5,86
10/2013;0,045;0,025;0,065;5,84
11/2013;0,045;0,025;0,065;5,77
12/2013;0,045;0,025;0,065;5,91
01/2014;0,045;0,025;0,065;5,59
02/2014;0,045;0,025;0,065;5,68
03/2014;0,045;0,025;0,065;6,15
04/2014;0,045;0,025;0,065;6,28
05/2014;0,045;0,025;0,065;6,37
06/2014;0,045;0,025;0,065;6,52
07/2014;0,045;0,025;0,065;6,5
08/2014;0,045;0,025;0,065;6,51
09/2014;0,045;0,025;0,065;6,75
10/2014;0,045;0,025;0,065;6,59
11/2014;0,045;0,025;0,065;6,56
12/2014;0,045;0,025;0,065;6,41
01/2015;0,045;0,025;0,065;7,14
02/2015;0,045;0,025;0,065;7,7
03/2015;0,045;0,025;0,065;8,13
04/2015;0,045;0,025;0,065;8,17
05/2015;0,045;0,025;0,065;8,47
06/2015;0,045;0,025;0,065;8,89
07/2015;0,045;0,025;0,065;9,56
08/2015;0,045;0,025;0,065;9,53
09/2015;0,045;0,025;0,065;9,49
10/2015;0,045;0,025;0,065;9,93
11/2015;0,045;0,025;0,065;10,48
12/2015;0,045;0,025;0,065;10,67
01/2016;0,045;0,025;0,065;10,71
02/2016;0,045;0,025;0,065;10,36
03/2016;0,045;0,025;0,065;9,39
04/2016;0,045;0,025;0,065;9,28
05/2016;0,045;0,025;0,065;9,32
06/2016;0,045;0,025;0,065;8,84
07/2016;0,045;0,025;0,065;8,74
08/2016;0,045;0,025;0,065;8,97
09/2016;0,045;0,025;0,065;8,48
10/2016;0,045;0,025;0,065;7,87
11/2016;0,045;0,025;0,065;6,99
12/2016;0,045;0,03;0,06;6,29
01/2017;0,045;0,03;0,06;5,35
02/2017;0,045;0,03;0,06;4,76
03/2017;0,045;0,03;0,06;4,57
04/2017;0,045;0,03;0,06;4,08
05/2017;0,045;0,03;0,06;3,6
06/2017;0,045;0,03;0,06;3
07/2017;0,045;0,03;0,06;2,71
08/2017;0,045;0,03;0,06;2,46
09/2017;0,045;0,03;0,06;2,54
10/2017;0,045;0,03;0,06;2,7
11/2017;0,045;0,03;0,06;2,8
12/2017;0,045;0,03;0,06;2,95
01/2018;0,045;0,03;0,06;2,86
02/2018;0,045;0,03;0,06;2,84
03/2018;0,045;0,03;0,06;2,68
04/2018;0,045;0,03;0,06;2,76
05/2018;0,045;0,03;0,06;2,86
06/2018;0,045;0,03;0,06;4,39
07/2018;0,045;0,03;0,06;4,48
08/2018;0,045;0,03;0,06;4,19
09/2018;0,045;0,03;0,06;4,53
10/2018;0,045;0,03;0,06;4,56
11/2018;0,045;0,03;0,06;4,05
12/2018;0,045;0,03;0,06;3,75
01/2019;0,0425;0,0275;0,0575;3,78
02/2019;0,0425;0,0275;0,0575;3,89
03/2019;0,0425;0,0275;0,0575;4,58
04/2019;0,0425;0,0275;0,0575;4,94
05/2019;0,0425;0,0275;0,0575;4,66
06/2019;0,0425;0,0275;0,0575;3,37
07/2019;0,0425;0,0275;0,0575;3,22
08/2019;0,0425;0,0275;0,0575;3,43
09/2019;0,0425;0,0275;0,0575;2,89
10/2019;0,0425;0,0275;0,0575;2,54
11/2019;0,0425;0,0275;0,0575;3,27
12/2019;0,0425;0,0275;0,0575;4,31
01/2020;0,04;0,025;0,055;4,19
02/2020;0,04;0,025;0,055;4,01
03/2020;0,04;0,025;0,055;3,3
04/2020;0,04;0,025;0,055;2,4
05/2020;0,04;0,025;0,055;1,88
06/2020;0,04;0,025;0,055;2,13
07/2020;0,04;0,025;0,055;2,31
08/2020;0,04;0,025;0,055;2,44
09/2020;0,04;0,025;0,055;3,14
10/2020;0,04;0,025;0,055;3,92
11/2020;0,04;0,025;0,055;4,31
12/2020;0,04;0,025;0,055;4,52
01/2021;0,0375;0,0225;0,0525;4,56
02/2021;0,0375;0,0225;0,0525;5,2
03/2021;0,0375;0,0225;0,0525;6,1
04/2021;0,0375;0,0225;0,0525;6,76
05/2021;0,0375;0,0225;0,0525;8,06
06/2021;0,0375;0,0225;0,0525;8,35
07/2021;0,0375;0,0225;0,0525;8,99
08/2021;0,0375;0,0225;0,0525;9,68
09/2021;0,0375;0,0225;0,0525;10,25
10/2021;0,0375;0,0225;0,0525;10,67
